,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1628371,00,0,5,5,27.3,2.2,8.0,0.275,0.8,4.0,0.2,1.4,1.6,0.875,2.0,4.2,6.2,0.4,0.4,1.0,1.0,1.8,6.6
0,202704,00,0,69,39,28.2,4.8,10.1,0.469,1.8,4.5,0.392,1.6,1.8,0.888,0.5,2.9,3.4,3.3,0.6,0.2,1.6,2.5,12.9
0,1628991,00,0,6,6,26.9,4.5,11.2,0.403,1.3,5.5,0.242,3.0,3.5,0.857,1.5,3.8,5.3,1.0,0.8,2.2,1.0,4.3,13.3
0,2544,00,0,266,266,41.5,10.2,20.7,0.495,1.6,4.8,0.337,6.6,8.9,0.74,1.5,7.5,9.0,7.2,1.7,0.9,3.7,2.3,28.7
0,1630198,00,0,5,0,2.3,0.2,0.6,0.333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.4
0,1629661,00,0,22,0,21.2,2.7,5.3,0.517,1.5,3.5,0.447,1.4,1.6,0.886,0.8,2.3,3.0,0.7,0.9,0.2,0.8,1.4,8.4
0,1630552,00,0,1,0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1626169,00,0,7,0,14.5,2.4,4.9,0.5,1.1,2.1,0.533,0.4,0.4,1.0,0.1,2.7,2.9,0.9,0.1,0.0,0.6,1.9,6.4
0,203999,00,0,44,44,37.1,10.0,19.5,0.511,1.9,4.8,0.398,4.1,4.9,0.836,3.0,8.3,11.3,6.4,1.0,0.9,2.8,3.4,25.9
0,1627745,00,0,12,1,3.3,0.4,0.8,0.5,0.0,0.0,0.0,0.3,0.6,0.571,0.4,0.5,0.9,0.0,0.2,0.1,0.3,0.8,1.2
0,1630529,00,0,1,1,30.6,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,5.0
0,1626145,00,0,10,0,11.8,1.1,3.2,0.344,0.2,0.9,0.222,0.2,0.2,1.0,0.2,1.5,1.7,2.0,0.3,0.0,0.1,0.2,2.6
0,1627884,00,0,18,0,6.5,0.6,1.3,0.435,0.2,0.7,0.333,0.1,0.3,0.4,0.4,0.3,0.8,0.4,0.4,0.3,0.1,0.8,1.4
0,201599,00,0,57,57,31.2,3.5,5.4,0.662,0.0,0.0,0.0,2.7,6.7,0.404,3.2,8.2,11.3,0.8,0.8,2.0,1.4,3.0,9.8
0,202709,00,0,82,2,14.6,2.1,4.5,0.461,0.3,1.0,0.325,0.7,1.0,0.759,0.3,1.2,1.5,1.7,0.5,0.1,0.7,1.3,5.2
0,1628379,00,0,19,2,18.5,2.8,5.9,0.482,1.6,3.5,0.455,0.3,0.4,0.75,0.3,1.3,1.6,0.7,0.3,0.1,0.3,1.1,7.6
0,1628467,00,0,14,10,29.6,1.9,5.4,0.355,1.1,3.6,0.294,1.3,1.6,0.783,1.1,3.8,4.9,1.4,0.4,0.5,0.4,3.0,6.2
0,1630233,00,0,6,0,2.3,0.3,1.2,0.286,0.0,0.3,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.3,0.7
0,1628995,00,0,2,0,4.2,1.5,2.5,0.6,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.5,1.5,0.5,0.5,0.5,1.5,0.0,6.0
0,1629723,00,0,1,0,2.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1627788,00,0,22,4,12.5,1.7,4.5,0.374,0.8,2.7,0.305,0.8,1.1,0.708,0.2,1.5,1.6,0.7,0.4,0.2,0.4,0.8,5.0
0,1628436,00,0,2,0,2.7,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5
0,1630228,00,0,1,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1628398,00,0,27,0,22.7,3.4,8.4,0.401,1.1,3.9,0.283,1.3,1.7,0.761,0.8,2.4,3.3,0.9,0.3,0.3,1.0,2.1,9.1
0,203897,00,0,1,1,36.6,6.0,19.0,0.316,2.0,10.0,0.2,4.0,4.0,1.0,0.0,10.0,10.0,3.0,1.0,1.0,3.0,5.0,18.0
0,203087,00,0,14,0,8.0,1.6,3.6,0.431,0.2,1.1,0.2,0.3,0.3,1.0,0.4,1.1,1.4,0.6,0.5,0.1,0.2,0.6,3.6
0,1629641,00,0,11,2,14.1,1.5,3.8,0.405,0.6,1.7,0.368,0.5,0.5,0.833,0.5,0.7,1.2,0.6,0.4,0.2,0.3,0.5,4.2
0,1627774,00,0,9,0,4.9,0.7,1.6,0.429,0.1,0.7,0.167,0.4,0.7,0.667,0.1,0.6,0.7,0.2,0.3,0.0,0.0,0.6,1.9
0,1627747,00,0,9,6,31.5,7.0,16.2,0.432,2.3,5.2,0.447,4.3,6.0,0.722,1.6,3.7,5.2,5.9,1.1,0.3,2.6,1.7,20.7
0,1627814,00,0,1,0,3.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
0,203458,00,0,5,3,8.4,1.6,2.8,0.571,0.0,0.0,0.0,0.8,1.4,0.571,0.8,1.4,2.2,0.4,0.2,0.0,0.2,1.6,4.0
0,202695,00,0,135,135,35.5,7.5,14.8,0.511,1.7,4.2,0.399,4.4,5.3,0.844,1.8,6.0,7.9,2.8,1.8,0.7,1.9,2.2,21.2
0,203081,00,0,61,61,40.3,8.2,19.9,0.412,3.3,8.8,0.369,6.0,6.8,0.887,0.7,3.8,4.5,6.2,1.2,0.3,3.1,2.3,25.7
0,1629642,00,0,3,0,3.0,0.3,1.3,0.25,0.3,1.3,0.25,0.7,1.3,0.5,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,1.7
0,1626172,00,0,43,7,19.3,2.4,3.9,0.625,0.0,0.0,0.0,0.7,1.2,0.596,2.0,2.4,4.4,0.9,0.6,0.4,0.5,2.4,5.6
