,Player,2021-22
344,Malachi Flynn,2048040
345,Cam Thomas,2036280
346,Desmond Bane,2033160
347,Jaden Springer,2023800
348,Day'Ron Sharpe,2009040
349,Jeremiah Robinson-Earl,2000000
350,Killian Tillie,2000000
351,Abdel Nader,2000000
352,Théo Maledon,2000000
353,Kenrich Williams,2000000
354,Santi Aldama,1994520
355,Damian Jones,1977011
356,Wesley Matthews,1958501
357,Rodney McGruder,1939350
358,DeAndre' Bembry,2541217
359,Gary Payton II,1939350
360,Timothé Luwawu-Cabarrot,1939350
361,PJ Dozier,1910860
362,Damion Lee,1910860
363,Larry Sanders,1865547
364,Shake Milton,1846738
365,Mitchell Robinson,1802057
366,Jalen Brunson,1802057
367,Dennis Smith Jr.,1789256
368,Malik Monk,1789256
369,Semi Ojeleye,1789256
370,Frank Ntilikina,1789256
371,Tony Bradley,1789256
372,Didi Louzada,1786878
373,Daniel Gafford,1782621
374,Terance Mann,1782621
375,Eric Paschall,1782621
376,KZ Okpala,1782621
377,Carsen Edwards,76744
378,Bruno Fernando,1782621
379,Cody Martin,1782621
380,Nic Claxton,1782621
381,Luguentz Dort,1782621
382,Isaiah Roby,1782621
383,Jaylen Nowell,1782621
384,Naz Reid,1782621
385,Vlatko ?an?ar,1782621
386,Dean Wade,1782621
387,Jalen McDaniels,1782621
388,Drew Eubanks,1762796
389,Chimezie Metu,1762796
390,Yuta Watanabe,1762769
391,Svi Mykhailiuk,1729217
392,Keita Bates-Diop,1729217
393,Moritz Wagner,1729217
394,Thanasis Antetokounmpo,1729217
395,Isaac Bonga,1729217
396,Isaiah Hartenstein,3430810
397,Juan Toscano-Anderson,1701593
398,Moses Brown,1720779
399,Oshae Brissett,1701593
400,Herbert Jones,1700000
401,Gabriel Deck,1690507
402,Jordan McLaughlin,1669178
403,Javonte Green,1669178
404,Max Strus,1669178
405,Gabe Vincent,1669178
406,Kevin Pangos,1669178
407,Matt Thomas,1669178
408,Xavier Sneed,1563518
409,Vernon Carey Jr.,1517981
410,Xavier Tillman Sr.,1517981
411,Tyrell Terry,1517981
412,Tre Jones,1517981
413,Robert Woodard II,1517981
414,Jahmi'us Ramsey,1517981
415,CJ Elleby,1517981
416,Elijah Hughes,1517981
417,Isaiah Joe,1517981
418,Naji Marshall,1517981
419,Jordan Nwora,1517981
420,Nick Richards,1517981
421,Anthony Gill,1517981
